n,raw_read_s,eager_mr_s,delayed_mr_s,inmem_mr_s,eager_mmr_s,delayed_mmr_s,inmem_mmr_s,eager_fmm_s,delayed_fmm_s,inmem_fmm_s,agree
1073741824,0.225857077,0.916524357,0.198119747,0.059508605,2.83067528,0.198757123,0.059624684,1.47128228,0.76987695,0.194852123,1
2147483648,0.339996497,1.66504718,0.33219217,0.116842414,3.10708752,0.332233008,0.118441279,2.98600071,1.47984948,0.384935665,1
4294967296,0.599954575,3.13507816,0.599659887,0.231669865,5.98392081,0.621064026,0.230818514,5.74942268,2.91518809,0.768553385,1
8589934592,1.12771811,5.8291999,1.12098556,0.458008353,11.7198864,1.12242141,0.458973599,13.7501151,5.92111928,1.52752287,1
17179869184,2.15024803,11.7704711,2.17573248,0.914291702,24.2144851,2.19842593,0.911853339,23.5418014,10.9137195,,1
34359738368,4.32003881,31.337703,4.29233067,,55.5964908,4.3111734,,52.6151754,24.2989269,,1
68719476736,8.53865594,30.3224962,8.48697913,,51.0015711,8.47472677,,43.7233848,21.7922562,,1
137438953472,16.9305225,58.7796793,16.839433,,102.488546,16.8309886,,85.1630476,42.8115904,,1
274877906944,33.8237027,117.925482,33.5251839,,201.810405,33.6183091,,167.807403,84.5307971,,1
549755813888,67.3858487,232.513631,67.0584811,,401.501433,66.9090138,,337.020863,168.417459,,1
